Hari	Jam	SKPB Reguler	SKPB IUP	IF-101	IF-102	IF-103	IF-104	IF-105b	IF-105a	IF-106	IF-107a	IF-107b	IF-108 - IUP	LP-1	LP-2	IF-111 (PASCASARJANA)	IF-112 (PASCASARJANA)
SENIN	07.00 - 08.00	FISIKA 2			Struktur Data	Sistem Operasi	Komputasi Pervasif dan Jaringan Sensor		Probabilitas dan Statistik	Pemrograman Berbasis Kerangka Kerja							Topik Dalam Komputasi Awan - A
	08.00 - 09.00	SEM 2			Sem 2/3 SKS/DP	Sem 4/4 SKS/BJ	Sem 8/3 SKS/RA		Sem 4/3 SKS/BA	Sem 6/3 SKS/MN							Sem 2/3 SKS/RM
	09.00 - 10.00		FISIKA 2														
	10.00 - 11.00		SEM 2	Sistem Digital	Manajemen Basis Data	Animasi Komputer dan Pemodelan 3D		Analisis dan Perancangan Sistem Informasi	Manajemen Basis Data	Pemodelan dan Simulasi			Sistem Operasi - IUP		Pemrograman Jaringan		
	11.00 - 12.00			Sem 2/3 SKS/RA	Sem 4/3 SKS/DS	Sem 8/3 SKS/SA		Sem 4/4 SKS/AL	Sem 4/3 SKS/SR	Sem 8/3 SKS/JL			Sem 4/4 SKS/BJ - AM		Sem 6/3 SKS/RM		
	12.00 - 13.00																
	13.00 - 14.00	WAWASAN DAN APLIKASI TEKNOLOGI		Struktur Data		Game Cerdas			Pemrograman Web - akselerasi	Manajemen Basis Data			Struktur Data - IUP	Interaksi Manusia dan Komputer - EN		Topik Dalam Manajemen Proyek Perangkat Lunak - A	Topik Dalam Rekayasa Kebutuhan - A
	14.00 - 15.00	SEM 8		Sem 2/3 SKS/YP		Sem 6/3 SKS/DH			Sem 5/3 SKS/FB	Sem 4/3 SKS/MN			Sem 2/3 SKS/DP	Sem 6/3 SKS/HF		Sem 2/3 SKS/RS	Sem 2/3 SKS/DO
	15.00 - 16.00			Sistem Digital									Sistem Digital - IUP				
	16.00 - 17.00			Sem 2/3 SKS/WS									Sem 2/3 SKS/RA		Pemrograman Jaringan		
	17.00 - 18.00														Sem 6/3 SKS/BJ		
	18.00 - 19.00														Topik Dalam Pemodelan dan Simulasi - P	Topik Dalam Komputasi Awan - P	Topik Dalam Grafika Komputer - P
	19.00 - 20.30														Sem 2/ 3 SKS/JL	Sem 2/ 3 SKS/BJ	Sem 2/3 SKS/DH
																	
SELASA	07.00 - 08.00		BAHASA INGGRIS	Sistem Game	Struktur Data	Analisis Jejaring Sosial	Perancangan dan Analisis Algoritma	Teori Graf dan Otomata					Probabilitas dan Statistik - IUP	Interaksi Manusia dan Komputer		Kecerdasan Komputasional - A	Topik Dalam Komputasi Bergerak - A
